entry_time,exit_time,signal,entry_price,stop_loss,tp1,tp2,tp3,lot_size,risk_usd,outcome,net_pnl,r_multiple,tp1_hit,tp2_hit,bars_held,balance,bias,soft_score
2024-01-31 16:45:00,2024-01-31 21:00:00,long,2051.68,2042.58,2065.33,2074.43,2088.08,0.03,27.3,sl,-29.01,-1.063,False,False,17,10078.73,bullish,3
2024-02-02 07:15:00,2024-02-02 11:45:00,long,2056.05,2052.69,2061.09,2064.45,2069.49,0.07,23.52,sl,-27.51,-1.17,False,False,18,10051.22,bullish,2
2024-02-15 11:45:00,2024-02-15 15:30:00,long,1996.36,1992.81,2001.68,2005.23,2010.56,0.07,24.85,sl_after_tp1,16.38,0.659,True,False,15,10067.6,bullish,2
2024-02-15 15:45:00,2024-02-16 15:30:00,long,2003.69,1996.18,2014.95,2022.47,2033.73,0.03,22.53,sl,-24.24,-1.076,False,False,91,10043.36,bullish,3
2024-02-19 11:15:00,2024-02-19 18:00:00,long,2019.51,2013.8,2028.08,2033.78,2042.35,0.04,22.84,sl,-25.12,-1.1,False,False,27,10018.24,bullish,1
2024-02-20 15:30:00,2024-02-20 22:00:00,long,2029.62,2024.09,2037.92,2043.44,2051.74,0.05,27.65,sl,-30.5,-1.103,False,False,26,9987.74,bullish,3
2024-02-22 10:00:00,2024-02-22 11:15:00,long,2033.89,2030.56,2038.89,2042.22,2047.21,0.07,23.31,sl,-27.3,-1.171,False,False,5,9960.44,bullish,3
2024-02-22 14:00:00,2024-02-22 15:15:00,long,2029.17,2026.1,2033.78,2036.85,2041.45,0.08,24.56,sl,-29.12,-1.186,False,False,5,9931.32,bullish,2
2024-02-26 06:00:00,2024-02-26 16:00:00,long,2032.36,2027.63,2039.45,2044.18,2051.28,0.05,23.65,sl,-26.5,-1.121,False,False,40,9904.82,bullish,2
2024-02-29 15:45:00,2024-03-01 20:45:00,long,2047.52,2032.15,2070.57,2085.94,2109.0,0.02,30.74,sl_after_tp2,60.17,1.957,True,True,112,9964.99,bullish,3
2024-03-04 09:00:00,2024-03-04 13:45:00,long,2084.96,2081.96,2089.46,2092.46,2096.96,0.08,24.0,sl,-28.56,-1.19,False,False,19,9936.43,bullish,3
2024-03-04 16:00:00,2024-03-04 18:00:00,long,2092.05,2083.93,2104.23,2112.35,2124.53,0.03,24.36,sl_after_tp2,48.34,1.985,True,True,8,9984.77,bullish,3
2024-03-05 10:15:00,2024-03-05 15:30:00,long,2120.95,2115.05,2129.8,2135.7,2144.55,0.04,23.6,sl_after_tp2,49.07,2.079,True,True,21,10033.84,bullish,3
